TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
SRAN/LTE,rc8,CF02140,70183,CF02140L-70183,,,CF02140L200,6817,,,,,,,,,FSMF,FBBA+FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02140,1096,CF02140L100,,,CF02140L100,1096,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02141,82052,CF02141GUL-82052,,,CF02141L200,4285,RJOND,356,CF02141U100,4502,BJONO,405953,CF02141G100,1287,FSMF,FBBA+FBBA,,FXFC-2,FXFC-2/FXFC-3,FXFC-3,,,7/23/24
SRAN/LTE,rc8,CF02141,112,CF02141L100,,,CF02141L100,112,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02142,71193,CF02142G100,,,,,,,,,BLAU5,405956,CF02142G100,2622,FSMF,,,,,FXFA-1,,,7/23/24
SRAN/LTE,rc8,CF02145,70402,CF02145L-70192,,,CF02145L200,6977,,,,,,,,,FSMF,FBBA+FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02145,1923,CF02145L100,,,CF02145L100,1923,,,,,,,,,FSMF,FBBC+FBBC,,FRIG-2/FRIG-3/FRPA-4/FRIG-1,,,,,7/23/24
SRAN/LTE,rc8,CF02147,71358,CF02147GU-71358,,,,,RTORH,369,CF02147U100,4139,BSAL3,403163,CF02147G100,1789,FSMF,FBBA+FBBA,,,FXFC-1,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02147,562,CF02147L100,,,CF02147L100,562,,,,,,,,,ASIA,ABIA+ABIA,,AHFIB-1/AHFIB-2/AHFIB-3/FRPA-4/AHHB-5/AHHB-6/AHHB-7,,,,,7/23/24
SRAN/LTE,rc8,CF02148,81579,CF02148GUL-81579,,,CF02148L200,4354,RJONG,371,CF02148U100,4417,BJONO,405953,CF02148G100,2304,FSMF,FBBA+FBBA,,FXFC-2/FXFC-3,FXFC-2/FXFC-3,FXFC-2/FXFC-3,,,7/23/24
